"time","h_wspd_1","h_wspd_2","h_wspd_3","h_wspd_4","h_wspd_5","h_wspd_6","h_wdir_1","h_wdir_2","h_wdir_3","h_wdir_4","h_wdir_5","h_wdir_6","file_date"
5,7.07072221504317,7.61527779009607,8.02411114136378,8.07788888931274,7.7073611134953,5.84747222847409,-46.0511944267485,-45.0248332950804,-44.198777785831,-43.4869722080231,-42.6787777985467,-42.1136389080683,2016-01-04
6,7.80000002106031,8.39672224018309,8.91536112096574,9.14927778297,9.00563889463743,7.24200000431803,-39.8621666505602,-39.1896388700273,-38.8427500210868,-38.5810555770662,-37.9577777724796,-36.4317222160763,2016-01-04
7,8.71222221665912,9.29361110634274,9.80208331637912,10.0731388926506,9.99591666963365,8.31136113550928,-31.3756666808658,-30.6179166444143,-30.1301110998789,-29.9661944304572,-29.7121388684379,-28.7308889049954,2016-01-04
8,8.85902778440052,9.40247222145399,9.8859444434113,10.1358611069785,10.1331111137072,8.50752781165971,-29.7053055148655,-29.070416630639,-28.7738055457009,-28.6033610873752,-28.088333322737,-27.6502499802907,2016-01-04
9,8.37888891127374,9.11991667813725,9.75766666995155,10.1259166730775,10.136777777142,7.89061113569472,-28.636166650984,-27.995722222858,-27.6660833464728,-27.6672499995761,-27.4344722308053,-28.4232222133213,2016-01-04
10,8.8898888832993,9.69502776808209,10.3553611098395,10.615861105654,10.3604722362094,7.33216667665376,-26.9188611099455,-26.2268888892068,-25.8103333250682,-25.6056944561005,-24.9733611069785,-26.1691944363382,2016-01-04
11,7.18841668526332,8.06713890221384,8.66502778410912,8.73708335320155,8.07452778789732,5.62847222275204,-24.0401666728655,-23.1686666621102,-22.3724444455571,-21.8102499914169,-20.3778888830874,-21.101777775685,2016-01-04
12,6.09152777625455,6.73822222265932,7.16715279519558,7.18447223948108,6.67327778021495,4.8745694432656,-18.2698472268052,-17.0085694342852,-15.7803055603637,-14.9025138986773,-13.5525138915579,-14.6456249990749,2016-01-04
13,7.2130000158151,7.90108334461848,8.35197224537531,8.25516668412421,7.61163890533977,5.1064999954568,-16.4902222227284,-15.0604166675462,-14.2972499957081,-14.2636111157512,-15.0437499915353,-17.1321111165918,2016-01-04
14,7.93100001335144,9.43194445278909,9.85202779372533,9.49858334594303,8.19750001139111,5.07697221404976,-18.3417777754201,-17.6705555566152,-16.5125000084771,-17.1400555434492,-19.2560000031524,-23.0607777787207,2016-01-04
15,7.23625001655685,8.69377780331506,9.04424999846352,8.62041667540868,7.34886111272706,4.30161110981471,-18.5629999976026,-17.297250004568,-15.7914444487604,-16.3614444451075,-17.8826944516558,-28.1508889345556,2016-01-04
16,6.76141667167346,8.08502779377831,8.41700000299348,8.10697224325604,7.05808334774441,4.17102777966195,-23.3439722160809,-21.4039722225277,-19.2302500025204,-19.5044722207843,-20.4403888940708,-34.9810832602717,2016-01-04
17,6.9482222255071,8.03269446836578,8.42525000638432,8.15566668166055,7.4052777923478,4.23747222676666,-21.1250555465143,-20.7856944378817,-18.767250002039,-19.5961666557462,-20.353861097383,-33.3897499969519,2016-01-04
18,7.33738890157806,8.68663889739248,9.00002779298359,8.70822221557299,7.45961111346881,4.41522222214275,-20.2569444311307,-19.8853055582796,-17.3165555599456,-17.3392222112645,-18.2936111104778,-24.8863055457175,2016-01-04
19,7.48444444364972,8.85441667940882,9.20633333855205,8.98930556787385,8.01758333947923,4.58705555766821,-17.6330833289027,-17.5719722173549,-15.8518055727084,-15.8865833362627,-17.6517777915775,-29.031944423231,2016-01-04
20,8.61930556297302,10.0558888912201,10.6197777707047,10.1921666679117,8.36750000417232,5.0621666652792,-15.0304166703671,-14.8939166668347,-12.8553611126708,-12.9083888871719,-17.0807222165333,-29.6672499195486,2016-01-04
21,7.79938890258471,8.91733333640628,9.63094445003404,8.85736111985313,7.98605556123787,4.17469445197947,-20.9903888893127,-19.9919444619285,-17.3367500067088,-19.0601666661952,-24.4328888917052,-36.375277770112,2016-01-04
22,7.40108334885703,8.77616667787234,9.34536110719045,8.65541667752796,6.79241667091847,4.66111111109455,-23.0913333230548,-19.8308333286353,-17.6850000043193,-18.7670833307753,-27.139750011019,-36.7595277869412,2016-01-04
23,7.91577778061231,9.7763888920678,10.4197777654065,9.70974999904633,7.71263889577654,4.58047222991784,-25.7429999917083,-19.8326388957765,-17.8228888799416,-18.7120555546383,-22.8747222135071,-40.9410555587875,2016-01-04
24,8.26630555974113,9.40888890862465,10.2194722094801,9.58844445122613,7.98138889359103,5.37033333344592,-28.2744166738457,-24.7940277614362,-22.0040555615785,-24.4972777832651,-28.9143611096073,-38.015583316392,2016-01-04
1,10.9200833414661,11.8836249964767,12.6145138809416,12.2248194599152,11.3711250057485,6.4795416675032,-19.8410833310419,-18.8447499841452,-18.688375018239,-18.6015833274523,-19.2843749992715,-23.0117361117299,2016-01-05
2,10.3622777734862,11.4383055692249,12.3410277663337,11.8606111129125,10.3728888816304,6.75588889069027,-22.6748333223661,-19.578583328459,-18.2603888967302,-18.785666653845,-22.5711944392013,-30.2093888920794,2016-01-05
3,11.6578333406978,12.3214444446564,12.9749722266197,12.5421388845974,11.3479999955495,7.7360277881225,-20.0680555514495,-18.5245555492904,-17.1710833270351,-17.5301666671596,-18.7923888957521,-29.782805560285,2016-01-05
4,12.4173611023029,13.1820555591583,13.6634722274542,13.4559166728126,12.6542499958186,8.48772222075197,-18.2521389000946,-16.665305560761,-15.9016388869017,-17.2320277829137,-15.1506388851338,-15.4941111037301,2016-01-05
5,11.8382500046492,12.8541944408417,13.1646388814184,13.1816388980548,11.6250555577315,6.99774999884061,-13.4854166592947,-11.9891944456328,-10.8368055621845,-10.4721388913815,-14.5934722408818,-2.48697222110712,2016-01-05
6,11.9802777836058,12.6584722285801,12.9516388924917,12.7262500005298,12.1539444496897,8.66411112123066,-7.04183333364005,-6.11847222378477,-5.44805555433863,-5.83658333753546,-6.59961111463192,-9.64999998228624,2016-01-05
